09/03/2025 06:56:10 Epoch 50/200 summary:  loss_train=0.75226,  acc_train=89.45%,  loss_val=0.53,  acc_val=84.71% (best: 84.71% @ epoch 50)
09/03/2025 06:57:06 Epoch 51/200 summary:  loss_train=0.74545,  acc_train=89.74%,  loss_val=0.55,  acc_val=83.03% (best: 84.71% @ epoch 50)
09/03/2025 06:58:03 Epoch 52/200 summary:  loss_train=0.73586,  acc_train=90.27%,  loss_val=0.47,  acc_val=86.21% (best: 86.21% @ epoch 52)
09/03/2025 06:58:59 Epoch 53/200 summary:  loss_train=0.73066,  acc_train=90.50%,  loss_val=0.47,  acc_val=86.08% (best: 86.21% @ epoch 52)
09/03/2025 06:59:55 Epoch 54/200 summary:  loss_train=0.72696,  acc_train=90.77%,  loss_val=0.47,  acc_val=85.60% (best: 86.21% @ epoch 52)
09/03/2025 07:00:51 Epoch 55/200 summary:  loss_train=0.72415,  acc_train=90.79%,  loss_val=0.49,  acc_val=85.33% (best: 86.21% @ epoch 52)
09/03/2025 07:01:47 Epoch 56/200 summary:  loss_train=0.71684,  acc_train=91.08%,  loss_val=0.49,  acc_val=85.36% (best: 86.21% @ epoch 52)
09/03/2025 07:02:43 Epoch 57/200 summary:  loss_train=0.71135,  acc_train=91.38%,  loss_val=0.49,  acc_val=85.76% (best: 86.21% @ epoch 52)
09/03/2025 07:03:39 Epoch 58/200 summary:  loss_train=0.69858,  acc_train=91.92%,  loss_val=0.45,  acc_val=86.59% (best: 86.59% @ epoch 58)
09/03/2025 07:04:35 Epoch 59/200 summary:  loss_train=0.70244,  acc_train=91.77%,  loss_val=0.48,  acc_val=85.95% (best: 86.59% @ epoch 58)
09/03/2025 07:05:31 Epoch 60/200 summary:  loss_train=0.69618,  acc_train=92.01%,  loss_val=0.45,  acc_val=86.53% (best: 86.59% @ epoch 58)
09/03/2025 07:06:27 Epoch 61/200 summary:  loss_train=0.68844,  acc_train=92.45%,  loss_val=0.47,  acc_val=86.11% (best: 86.59% @ epoch 58)
09/03/2025 07:07:23 Epoch 62/200 summary:  loss_train=0.68678,  acc_train=92.52%,  loss_val=0.46,  acc_val=86.85% (best: 86.85% @ epoch 62)
09/03/2025 07:08:19 Epoch 63/200 summary:  loss_train=0.67662,  acc_train=92.93%,  loss_val=0.47,  acc_val=86.25% (best: 86.85% @ epoch 62)
09/03/2025 07:09:16 Epoch 64/200 summary:  loss_train=0.67111,  acc_train=93.25%,  loss_val=0.49,  acc_val=85.99% (best: 86.85% @ epoch 62)
09/03/2025 07:10:13 Epoch 65/200 summary:  loss_train=0.67481,  acc_train=92.99%,  loss_val=0.48,  acc_val=85.71% (best: 86.85% @ epoch 62)
09/03/2025 07:11:10 Epoch 66/200 summary:  loss_train=0.67173,  acc_train=93.06%,  loss_val=0.46,  acc_val=86.40% (best: 86.85% @ epoch 62)
09/03/2025 07:12:06 Epoch 67/200 summary:  loss_train=0.66606,  acc_train=93.43%,  loss_val=0.47,  acc_val=86.12% (best: 86.85% @ epoch 62)
